member_casual,mes,count,count
casual,Abril,92221,1
casual,Agosto,226792,1
casual,Dezembro,28008,1
casual,Fevereiro,37615,1
casual,Janeiro,17370,1
casual,Julho,230142,1
casual,Junho,206686,1
casual,Maio,164395,1
casual,Março,61798,1
casual,Novembro,68390,1
casual,Outubro,158437,1
casual,Setembro,214259,1
member,Abril,200298,1
member,Agosto,311073,1
member,Dezembro,102045,1
member,Fevereiro,144447,1
member,Janeiro,93517,1
member,Julho,307460,1
member,Junho,284487,1
member,Maio,270056,1
member,Março,164673,1
member,Novembro,176396,1
member,Outubro,288436,1
member,Setembro,319060,1
